"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.022","3","CÓRDOBA","41","49","0","15","0","1","0","0","0","0"
"2.022","3","CUNDINAMARCA","101","80","6","5","0","4","8","3","3","0"
"2.022","3","GUAVIARE","4","5","0","0","0","0","0","0","0","0"
"2.022","3","HUILA","40","76","1","2","0","1","8","0","1","0"
"2.022","3","LA GUAJIRA","12","6","0","0","0","0","0","0","0","0"
"2.022","3","MAGDALENA","27","24","0","5","0","0","0","0","0","0"
"2.022","3","META","61","48","5","1","0","1","7","0","0","0"
"2.022","3","NARIÑO","33","28","0","1","0","1","3","0","0","0"
"2.022","3","NORTE DE SANTANDER","75","39","1","3","0","4","2","0","0","0"
"2.022","3","PUTUMAYO","5","10","0","1","0","0","0","0","0","0"
"2.022","3","QUINDIO","51","57","0","5","0","3","2","1","0","0"
"2.022","3","RISARALDA","60","19","0","8","0","4","2","0","0","0"
"2.022","3","SANTANDER","102","58","0","12","0","2","9","1","4","0"
"2.022","3","SUCRE","28","16","0","20","0","0","0","0","0","0"
"2.022","3","TOLIMA","72","106","4","2","0","4","11","2","2","0"
"2.022","3","VALLE DEL CAUCA","98","78","0","11","0","3","4","0","1","0"
"2.022","3","VICHADA","0","1","0","0","0","0","0","0","0","0"
"2.022","4","AMAZONAS","2","0","0","0","0","0","0","0","0","0"
"2.022","4","ANTIOQUIA","246","143","1","10","0","8","4","5","0","1"
"2.022","4","ARAUCA","1","3","0","0","0","0","1","0","0","0"
"2.022","4","ATLÁNTICO","96","31","3","34","0","6","2","1","4","0"
"2.022","4","BOGOTÁ, D.C.","224","80","20","14","1","39","37","13","3","0"
"2.022","4","BOLÍVAR","39","9","0","38","0","1","0","0","3","0"
"2.022","4","BOYACÁ","76","45","1","3","0","4","5","0","3","0"
"2.022","4","CALDAS","60","20","3","4","0","1","1","0","0","0"
"2.022","4","CAQUETÁ","16","55","0","2","0","0","1","0","0","0"
"2.022","4","CASANARE","17","30","3","1","0","2","2","0","0","0"
"2.022","4","CAUCA","41","58","0","0","0","2","2","0","0","0"
"2.022","4","CESAR","55","62","0","2","0","1","0","0","0","0"
"2.022","4","CHOCÓ","15","2","0","0","0","0","0","0","0","0"
"2.022","4","CÓRDOBA","62","36","1","27","0","0","0","0","0","0"
"2.022","4","CUNDINAMARCA","134","71","4","6","0","6","15","0","2","0"
"2.022","4","GUAVIARE","5","4","0","0","0","1","0","0","0","0"
"2.022","4","HUILA","71","103","1","2","0","1","5","0","0","0"
"2.022","4","LA GUAJIRA","21","15","0","0","0","0","0","0","0","0"
"2.022","4","MAGDALENA","42","17","0","1","0","1","2","0","2","0"
"2.022","4","META","138","81","6","1","0","2","9","1","0","0"
"2.022","4","NARIÑO","38","27","1","0","0","0","3","1","0","0"
"2.022","4","NORTE DE SANTANDER","115","61","1","4","0","2","7","1","1","0"
"2.022","4","PUTUMAYO","8","15","0","3","0","0","0","0","0","0"
"2.022","4","QUINDIO","63","48","2","3","0","1","2","1","0","0"
"2.022","4","RISARALDA","67","24","0","5","0","4","4","1","0","0"
"2.022","4","SANTANDER","107","71","2","9","0","8","10","0","5","0"
"2.022","4","SUCRE","38","24","0","37","0","1","1","0","0","0"
"2.022","4","TOLIMA","121","114","7","6","0","6","13","3","0","0"
"2.022","4","VALLE DEL CAUCA","182","96","6","11","0","6","9","5","3","0"
"2.022","4","VICHADA","0","0","0","1","0","0","0","0","0","0"
