"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.023","3","BOGOTÁ, D.C.","25","11","227","70"
"2.023","3","BOLÍVAR","8","2","93","7"
"2.023","3","BOYACÁ","12","2","98","12"
"2.023","3","CALDAS","2","1","61","3"
"2.023","3","CAQUETÁ","1","0","48","0"
"2.023","3","CASANARE","3","0","30","0"
"2.023","3","CAUCA","4","0","90","4"
"2.023","3","CESAR","1","0","75","2"
"2.023","3","CHOCÓ","0","0","12","0"
"2.023","3","CÓRDOBA","4","0","105","2"
"2.023","3","CUNDINAMARCA","17","1","200","20"
"2.023","3","GUAINÍA","0","0","1","0"
"2.023","3","GUAVIARE","2","0","7","0"
"2.023","3","HUILA","5","2","105","6"
"2.023","3","LA GUAJIRA","0","0","15","0"
"2.023","3","MAGDALENA","1","0","45","4"
"2.023","3","META","7","2","160","17"
"2.023","3","NARIÑO","3","0","54","6"
"2.023","3","NORTE DE SANTANDER","7","0","125","8"
"2.023","3","PUTUMAYO","3","0","22","0"
"2.023","3","QUINDIO","2","0","74","2"
"2.023","3","RISARALDA","4","1","69","6"
"2.023","3","SANTANDER","12","2","137","19"
"2.023","3","SUCRE","2","1","81","2"
"2.023","3","TOLIMA","14","7","178","16"
"2.023","3","VALLE DEL CAUCA","11","1","212","11"
"2.023","3","VICHADA","0","0","1","0"
"2.023","4","AMAZONAS","0","0","3","0"
"2.023","4","ANTIOQUIA","20","6","257","14"
"2.023","4","ARAUCA","0","0","4","0"
"2.023","4","ATLÁNTICO","5","2","112","5"
"2.023","4","BOGOTÁ, D.C.","18","10","283","88"
"2.023","4","BOLÍVAR","8","3","81","6"
"2.023","4","BOYACÁ","15","1","96","10"
"2.023","4","CALDAS","3","1","68","5"
"2.023","4","CAQUETÁ","0","0","48","1"
"2.023","4","CASANARE","0","0","37","4"
"2.023","4","CAUCA","4","0","73","2"
"2.023","4","CESAR","2","0","91","2"
"2.023","4","CHOCÓ","0","0","10","0"
"2.023","4","CÓRDOBA","5","0","109","8"
"2.023","4","CUNDINAMARCA","16","5","153","22"
"2.023","4","GUAINÍA","0","0","3","0"
"2.023","4","GUAVIARE","0","0","5","0"
"2.023","4","HUILA","7","1","121","1"
"2.023","4","LA GUAJIRA","1","0","22","0"
"2.023","4","MAGDALENA","2","1","43","2"
"2.023","4","META","6","1","131","10"
"2.023","4","NARIÑO","6","0","60","4"
"2.023","4","NORTE DE SANTANDER","4","0","120","5"
"2.023","4","PUTUMAYO","2","0","19","0"
"2.023","4","QUINDIO","3","0","72","5"
"2.023","4","RISARALDA","15","3","73","3"
"2.023","4","SANTANDER","14","2","143","9"
"2.023","4","SUCRE","1","0","65","1"
"2.023","4","TOLIMA","19","3","182","17"
"2.023","4","VALLE DEL CAUCA","24","2","179","14"
"2.023","4","VICHADA","0","0","2","0"
"2.024","1","AMAZONAS","0","0","2","0"
"2.024","1","ANTIOQUIA","12","3","232","17"
"2.024","1","ARAUCA","0","0","3","0"
"2.024","1","ATLÁNTICO","13","4","121","7"
"2.024","1","BOGOTÁ, D.C.","19","14","231","82"
"2.024","1","BOLÍVAR","9","6","68","5"
"2.024","1","BOYACÁ","10","3","82","12"
"2.024","1","CALDAS","5","0","62","4"
"2.024","1","CAQUETÁ","2","0","35","0"
"2.024","1","CASANARE","0","0","24","3"
"2.024","1","CAUCA","2","0","61","3"
"2.024","1","CESAR","4","0","56","1"
"2.024","1","CHOCÓ","0","0","10","0"
"2.024","1","CÓRDOBA","4","1","83","6"
"2.024","1","CUNDINAMARCA","11","4","116","18"
"2.024","1","GUAINÍA","0","0","1","0"
"2.024","1","GUAVIARE","0","0","4","0"
"2.024","1","HUILA","7","0","102","9"
"2.024","1","LA GUAJIRA","1","0","19","0"
"2.024","1","MAGDALENA","3","1","41","1"
"2.024","1","META","7","1","146","12"
"2.024","1","NARIÑO","1","0","30","3"
"2.024","1","NORTE DE SANTANDER","9","1","102","8"
"2.024","1","PUTUMAYO","0","0","11","0"
"2.024","1","QUINDIO","1","1","48","6"
"2.024","1","RISARALDA","6","0","42","8"
"2.024","1","SANTANDER","22","4","159","22"
"2.024","1","SUCRE","0","0","56","2"
"2.024","1","TOLIMA","19","5","184","18"
"2.024","1","VALLE DEL CAUCA","26","3","163","14"
"2.024","1","VICHADA","0","0","1","0"
"2.024","2","AMAZONAS","0","0","1","0"
"2.024","2","ANTIOQUIA","5","3","263","14"
"2.024","2","ARAUCA","1","0","5","0"
"2.024","2","ATLÁNTICO","13","1","167","4"
"2.024","2","BOGOTÁ, D.C.","13","5","212","80"
"2.024","2","BOLÍVAR","7","5","77","6"
"2.024","2","BOYACÁ","10","1","70","16"
"2.024","2","CALDAS","5","1","48","5"
"2.024","2","CAQUETÁ","1","0","50","0"
"2.024","2","CASANARE","1","0","34","6"
"2.024","2","CAUCA","1","0","68","2"
"2.024","2","CESAR","8","0","68","1"
"2.024","2","CHOCÓ","0","0","7","0"
"2.024","2","CÓRDOBA","3","2","108","1"
"2.024","2","CUNDINAMARCA","7","4","164","31"
"2.024","2","GUAVIARE","0","0","7","1"
"2.024","2","HUILA","6","0","93","12"
"2.024","2","LA GUAJIRA","1","0","12","0"
"2.024","2","MAGDALENA","5","0","53","1"
"2.024","2","META","3","1","154","16"
"2.024","2","NARIÑO","4","1","58","5"
"2.024","2","NORTE DE SANTANDER","4","1","83","7"
"2.024","2","PUTUMAYO","0","0","20","0"
"2.024","2","QUINDIO","1","0","47","6"
"2.024","2","RISARALDA","12","2","50","3"
"2.024","2","SANTANDER","6","1","145","12"
"2.024","2","SUCRE","5","0","82","2"
"2.024","2","TOLIMA","12","4","150","24"
"2.024","2","VALLE DEL CAUCA","19","3","170","19"
"2.024","4","AMAZONAS","0","0","1","0"
"2.024","4","ANTIOQUIA","14","2","221","19"
"2.024","4","ARAUCA","0","0","9","0"
"2.024","4","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","0","0","1","0"
"2.024","4","ATLÁNTICO","17","7","173","9"
"2.024","4","BOGOTÁ, D.C.","33","36","262","105"
"2.024","4","BOLÍVAR","10","5","94","10"
"2.024","4","BOYACÁ","17","1","97","15"
"2.024","4","CALDAS","1","1","60","10"
"2.024","4","CAQUETÁ","2","0","55","1"
